id,fct_code,name_en,name_bn,name_banglish,category,calories_100g,protein_g_100g,fat_g_100g,carbs_g_100g,fiber_g_100g,portion_local,portion_grams,glycemic_class,condition_flags,verified,review_portion_ok,review_glycemic_ok,review_flags_ok,review_comment
kanta_notay,04_0003,"Spiney amaranth leaves, raw",কাঁটা নটে শাক,kaanta notay shak|kanta notay shhak|khanta notay shak|kanta notai shak|kanta notay shak|kanta notay sak|kaata notay|khata notay|kata notai|kata notay,leafy vegetable,51,4.8,0.3,5.2,4.4,1 bowl,100,low,,yes,,,,
korola_shak,04_0009,"Bitter gourd leaves, raw",করলা শাক,beetter gourd leaves|bitter ghourd leaves|bitter gooord leaves|bitter gourd leaaves|bitter gourd leabhes|bitter gourd leavesh|bitter gourd leaves|bytter gourd leaves|khorola shak|korola shhak|korolaa shak|korola shak|korola sak,leafy vegetable,55,4.9,0.5,6.1,3.1,1 bowl,100,low,,yes,,,,
simei_alu_shak,04_0012,"Cassava leaves, raw",শিমুল আলু শাক,caassava leaves|cashsava leaves|cassabha leaves|chassava leaves|seemei alu shak|shimei alu shak|simei aalu shak|simei aloo shak|simei alu shakh|cassava leaves|simei alu shak|symei alu shak|simei alu sak,leafy vegetable,62,4.7,1.2,5.7,4.8,1 bowl,100,low,,yes,,,,
alu_boiled,05_0012,"Potato, Diamond, boiled (without salt)",আলু,ghol alu|gol aalu|gol aloo|gholalu|gol alu|golaalu|golaloo|potaato|golalu|potato|aallu|aaloo|alloo|aalu|allu|aloo|alu,starchy root,67,1.2,0.2,14.2,2.1,1 medium,120,high,diabetes_caution,yes,,,,
alu_mash,05_0021,Potato mash (with salt),আলু ভর্তা,potaato mash|potato mashh|aalu bhorta|aloo bhorta|potato mash|aalu vorta|aloo vorta|alu bhorta|potato mas|alu vorta,starchy root,84,1.4,0.8,16.6,2.5,1 bowl,100,high,diabetes_caution,yes,,,,
alu_raw,05_0005,"Potato, Diamond, raw",কাঁচা আলু,raaw potato|kaacha alu|kacha aloo|kachha alu|khacha alu|raw potato|kacha alu|kaca alu,starchy root,66,1.2,0.2,14.0,2.1,1 medium,120,high,diabetes_caution,yes,,,,
misti_alu_boiled,05_0013,"Sweet potato, pale-yellow flesh, boiled",মিষ্টি আলু,shweet potato|sweet potaato|sweet potato|meeshti alu|mishhti alu|mishti aalu|mishti aloo|swit potato|meesti alu|meetha alu|mishti alu|misti aalu|misti aloo|mitha aloo|mithaa alu|myshti alu|meestialu|mishtialu|misti alu|mistiaalu|mistialoo|mitha alu|mysti alu|mytha alu|mistialu|mystialu,starchy root,106,0.9,0.3,23.4,3.0,1 medium,130,medium,,yes,,,,
misti_alu_komola,05_0016,"Sweet potato, orange flesh, boiled",কমলা মিষ্টি আলু,oraange sweet potato|orange shweet potato|oranghe sweet potato|orange sweet potato|orange swit potato|khomola misti alu|komola meesti alu|komola mishti alu|komola misti aloo|komolaa misti alu|komola misti alu|komola mysti alu,starchy root,98,0.9,0.3,21.4,3.0,1 medium,130,medium,,yes,,,,
kochur_mukhi_boiled,05_0011,"Colocasia/Taro, boiled (without salt)",কচুর মুখী,khochur mukhi|kochhur mukhi|kochoor mukhi|kochur mukhee|kochur mukhi|kochur mukhy|kochur muki|kocur mukhi|khochu|kochhu|kochoo|kochu|taaro|kocu|taro,starchy root,115,2.5,0.2,23.6,4.6,1 bowl,100,medium,kidney_caution,yes,,,,
dudh_kochu_boiled,05_0017,"Taro/Tannia cormel, boiled (without salt)",দুধ কচু,doodh kochu|dudh khochu|dudh kochhu|dood kochu|dud khochu|dud kochhu|dudh kochu|dud kochu|dudh kocu|dud kocu,starchy root,113,2.4,0.2,23.1,4.6,1 bowl,100,medium,kidney_caution,yes,,,,
ole_kochu_boiled,05_0018,"Elephant foot yam, boiled (without salt)",ওল কচু,elephaant foot|elephant foot|elephant fut|ole khochu|ole kochhu|ole kochoo|ol khochu|ol kochhu|ol kochoo|ole kochu|ol kochu|ole kocu|ol kocu,starchy root,83,1.3,0.1,16.9,4.6,1 bowl,100,medium,kidney_caution,yes,,,,
mann_kochu_boiled,05_0019,"Giant taro, boiled (without salt)",মান কচু,geeant taro|ghiant taro|giaant taro|maann kochu|mann khochu|mann kochhu|mann kochoo|giant taro|gyant taro|maan kochu|man khochu|man kochhu|man kochoo|mann kochu|man kochu|mann kocu|man kocu,starchy root,92,1.6,0.2,18.6,4.6,1 bowl,100,medium,kidney_caution,yes,,,,
chal_br11,01_0013,"Rice, BR-11, parboiled, milled, raw",চাল বিআর-১১,br-11 reece|br-11 riche|br-11 rice|br-11 ryce|br11 chaal|br11 chhal|br11 chal|br11 cal,cereal,345,7.9,0.3,76.1,3.4,1 cup,180,high,diabetes_caution,yes,,,,
chal_br16,01_0014,"Rice, BR-16, parboiled, milled, raw",চাল বিআর-১৬,br-16 reece|br-16 riche|br-16 rice|br-16 ryce|br16 chaal|br16 chhal|br16 chal|br16 cal,cereal,346,6.2,0.3,77.9,3.4,1 cup,180,high,diabetes_caution,yes,,,,
chal_br26,01_0015,"Rice, BR-26, parboiled, milled, raw",চাল বিআর-২৬,br-26 reece|br-26 riche|br-26 rice|br-26 ryce|br26 chaal|br26 chhal|br26 chal|br26 cal,cereal,346,8.4,0.4,75.5,3.4,1 cup,180,high,diabetes_caution,yes,,,,
chal_br3,01_0016,"Rice, BR-3, parboiled, milled, raw",চাল বিআর-৩,br-3 reece|br-3 riche|br-3 rice|br-3 ryce|br3 chaal|br3 chhal|br3 chal|br3 cal,cereal,344,7.1,0.2,76.8,3.4,1 cup,180,high,diabetes_caution,yes,,,,
chal_brri30,01_0017,"Rice, BRRI Dhan-30, parboiled, milled, raw",ব্রি ধান-৩০,brree dhan 30|brri dhaan 30|brri dhan 30|brry dhan 30|brree30|brri30|brry30,cereal,349,6.9,0.3,77.9,3.4,1 cup,180,high,diabetes_caution,yes,,,,
chal_brri40,01_0018,"Rice, BRRI Dhan-40, parboiled, milled, raw",ব্রি ধান-৪০,brree dhan 40|brri dhaan 40|brri dhan 40|brry dhan 40|brree40|brri40|brry40,cereal,349,7.0,0.3,77.9,3.4,1 cup,180,high,diabetes_caution,yes,,,,
chal_lal_raw,01_0021,"Rice, brown, parboiled, milled, raw",লাল চাল,brown reece raw|brown rice raaw|brown riche raw|brown rice raw|brown ryce raw|laal chal|lal chhal|lal chal|lal cal,cereal,350,7.8,2.4,72.3,3.8,1 cup,180,medium,,yes,,,,
chal_dheki_raw,01_0020,"Rice, brown, parboiled, home-pounded, raw",ঢেঁকিছাঁটা চাল,dhekee chata chal|dhekhi chata chal|dheki chaata chal|dheki chhata chal|dheki chata chal|dheky chata chal|dheki cata chal|dhekeechata|dhekhichata|dhekichaata|dhekichhata|dhekichata|dhekychata|dhekicata,cereal,348,7.6,2.3,72.4,3.8,1 cup,180,medium,,yes,,,,
bhat_dheki_boiled,01_0038,"Rice, brown, home-pounded, boiled",ঢেঁকিছাঁটা ভাত,dhekee chata bhat|dhekhi chata bhat|dheki chaata bhat|dheki chhata bhat|dheki chata bhat|dheky chata bhat|dheki cata bhat|dheki chata vat|dhekee bhat|dhekhi bhat|dheki bhaat|dheki bhat|dheky bhat|dheki vat,cereal,112,2.4,0.7,23.2,1.2,1 plate,250,medium,,yes,,,,
chal_atop_raw,01_0025,"Rice, white, sunned, polished, milled, raw",আতপ চাল,aatop chal|aatop rice|atop chhal|atop reece|atop riche|atop chal|atop rice|atop ryce|atop cal,cereal,345,6.6,0.3,77.4,3.1,1 cup,180,high,diabetes_caution,yes,,,,
chal_sugondhi_raw,01_0024,"Rice, white, sunned, aromatic, raw",সুগন্ধি চাল,shugondhi chal|soogondhi chal|sughondhi chal|sugondhee chal|sugondhi chaal|sugondhi chhal|sugondhi chal|sugondhy chal|sugondhi cal|polaao chal|polao chhal|polao chal|polao cal,cereal,343,6.7,0.7,76.1,3.1,1 cup,180,high,diabetes_caution,yes,,,,
ata_packet,01_0031,"Wheat flour, white (packet)",প্যাকেট আটা,paacket ata|pachket ata|packhet ata|wheete atta|white aatta|packet ata|white atta|whyte atta,cereal,347,10.6,1.6,70.3,4.4,1 cup,120,medium,,yes,,,,
bhutta_atta,01_0004,"Maize/corn flour, whole, white",ভুট্টার আটা,bhootta atta|bhuttaa atta|bhutta atta|chorn flour|corn flooor|vootta atta|vuttaa atta|corn flour|vutta atta,cereal,355,6.9,3.9,69.6,7.3,1 cup,120,medium,,yes,,,,
bhutta_shukna,01_0005,"Maize/corn, yellow, dried, raw",শুকনা ভুট্টা,shhukna bhutta|shookna bhutta|shukhna bhutta|shuknaa bhutta|shukna bhutta|shukna vutta|sukna bhutta|dreeed corn|dried chorn|dried corn|dryed corn,cereal,344,9.9,3.4,64.7,7.3,1 cup,120,medium,,yes,,,,
kaon,01_0006,"Millet, Foxtail, raw",কাউন,foxtaail millet|foxtaeel millet|foxtail millet|foxtayl millet|kaaon|kaaun|kaoon|khaon|khaun|kaon|kaun,cereal,344,10.4,4.3,61.7,8.5,1 cup,100,medium,,yes,,,,
cheena,01_0007,"Millet, Proso, whole-grain, raw",চীনা,prosho millet|proso meellet|proso millet|proso myllet|cheenaa|chheena|cheena|chhina|chinaa|ceena|china|chyna|cina,cereal,341,11.2,4.2,60.3,8.5,1 cup,100,medium,,yes,,,,
bajra,01_0008,"Pearl millet, whole-grain, raw",বাজরা,peaarl millet|pearl meellet|pearl millet|pearl myllet|baajra|bajra|bazra,cereal,349,10.1,5.0,61.4,8.8,1 cup,100,medium,,yes,,,,
jowar,01_0027,"Sorghum, raw",জোয়ার,jowaar dana|jowar dana|zowar dana|shorghum|sorghhum|sorghoom|sorghum|jowaar|sorgum|jowar|zowar,cereal,350,10.1,3.3,66.9,6.3,1 cup,100,medium,,yes,,,,
chola_shukna,02_0002,"Bengal gram, whole, dried, raw",শুকনা ছোলা,dry cheeckpea|dry chhickpea|dry chickhpea|dry chickpeaa|kaabuli chola|kabooli chola|kabulee chola|kabuli chhola|khabuli chola|shhukna chola|shookna chola|shukhna chola|shukna chhola|shuknaa chola|dri chickpea|dry chickpea|dry chyckpea|kabuli chola|kabuly chola|shukna chola|dry cickpea|kabuli cola|shukna cola|sukna chola,pulse,350,20.4,6.0,44.8,17.4,1 cup,100,low,,yes,,,,
mashkalai_asto,02_0003,"Black gram, dehulled, dried, raw",আস্ত মাসকলাই,whole blaack gram|whole blachk gram|whole black ghram|whole blackh gram|whole black gram|aasto mashkalai|ashto mashkalai|asto mashkalaee|asto mashkhalai|asto mashkalai|asto mashkalay|asto maskalai,pulse,317,22.3,1.7,45.1,16.3,1 cup,100,low,,yes,,,,
mungkalai,02_0006,"Green gram, whole, dried, raw",মুগকলাই,whole moongh|whole moong|moog kalai|moongkalai|mug kaalai|mug kalaee|mug khalai|mugh kalai|munghkalai|mungkaalai|mungkalaee|mungkhalai|whole mung|mug kalai|mug kalay|mungkalai|mungkalay,pulse,318,23.7,1.3,44.8,16.3,1 cup,100,low,,yes,,,,
khesari_raw,02_0007,"Grass pea, split, dried, raw",কাঁচা খেসারি ডাল,kaacha khesari|kacha khesaree|kacha kheshari|kachha khesari|khacha khesari|kacha khesari|kacha khesary|dry khesaari|dry khesaree|dry kheshari|dry khhesari|kaca khesari|kacha kesari|dri khesari|dry khesari|dry khesary|dry kesari,pulse,352,28.4,0.9,56.5,2.2,1 cup,100,low,,yes,,,,
motor_raw,02_0009,"Pea, dried, raw",শুকনা মটর,shhukna motor|shookna motor|shukhna motor|shuknaa motor|shukna motor|sukna motor|dry peaa|dri pea|dry pea,pulse,327,22.1,2.1,48.3,13.0,1 cup,100,low,,yes,,,,
begun_raw,03_0005,"Brinjal, purple, long, raw",কাঁচা বেগুন,kaacha begun|kacha beghun|kacha begoon|kachha begun|khacha begun|raaw brinjal|raw breenjal|kacha begun|raw brinjal|raw brinzal|raw brynjal|kaca begun,vegetable,24,1.9,0.1,2.0,4.1,1 medium,100,low,,yes,,,,
korola_raw,03_0016,"Bitter gourd, raw",কাঁচা করলা,raaw bitter gourd|raw beetter gourd|raw bitter ghourd|raw bitter gooord|raw bitter gourd|raw bytter gourd|kaacha korola|kachha korola|khacha korola|kacha korola|kaca korola,vegetable,31,2.1,0.3,3.6,2.6,1 bowl,100,low,,yes,,,,
potol_raw,03_0018,"Pointed gourd, raw",কাঁচা পটল,kaacha potol|kachha potol|khacha potol|kacha potol|kaca potol|raaw potol|raw potol,vegetable,24,2.0,0.3,2.2,2.2,1 bowl,100,low,,yes,,,,
kakrol_raw,03_0022,"Teasle gourd, raw",কাঁচা কাঁকরোল,kaacha kakrol|kachha kakrol|khacha kakrol|kacha kakrol|kaca kakrol|raaw kakrol|raw khakrol|raw kakrol,vegetable,61,1.9,0.5,11.8,1.1,1 bowl,100,medium,,yes,,,,
dheros_raw,03_0023,"Okra, raw",কাঁচা ঢেঁড়স,kaacha dheros|kacha dherosh|kachha dheros|khacha dheros|kacha dheros|kaca dheros|raaw okra|raw okhra|raw okra,vegetable,39,2.1,0.2,5.7,3.1,1 bowl,100,low,,yes,,,,
badhakopi_raw,03_0007,"Cabbage, raw",কাঁচা বাঁধাকপি,kaacha badhakopi|kacha badhakopee|kachha badhakopi|khacha badhakopi|kacha badhakopi|kacha badhakopy|kaca badhakopi|raaw cabbage|raw cabbaghe|raw chabbage|raw cabbage,vegetable,24,1.5,0.3,2.6,2.5,1 bowl,100,low,,yes,,,,
fulkopi_raw,03_0009,"Cauliflower, raw",কাঁচা ফুলকপি,raaw cauliflower|raw caooliflower|raw cauleeflower|raw chauliflower|raw cauliflower|raw caulyflower|kaacha fulkopi|kacha foolkopi|kacha fulkopee|kachha fulkopi|khacha fulkopi|kacha fulkopi|kacha fulkopy|kaca fulkopi,vegetable,27,2.6,0.3,2.5,2.0,1 bowl,100,low,,yes,,,,
mula_raw,03_0029,"Radish, raw",কাঁচা মুলা,kaacha mula|kacha moola|kachha mula|khacha mula|raaw radish|raw radeesh|raw radishh|kacha mula|raw radish|raw radysh|kaca mula|raw radis,vegetable,18,0.9,0.1,2.5,1.6,1 bowl,100,low,,yes,,,,
mistikumra_raw,03_0028,"Pumpkin, raw",কাঁচা মিষ্টি কুমড়া,kaacha misti kumra|kacha meesti kumra|kacha mishti kumra|kacha misti koomra|kachha misti kumra|khacha misti kumra|kacha misti kumra|kacha mysti kumra|kaca misti kumra|raaw pumpkin|raw poompkin|raw pumpkeen|raw pumpkhin|raw pumpkin|raw pumpkyn,vegetable,18,1.4,0.3,1.3,2.4,1 bowl,100,low,,yes,,,,
borboti_raw,03_0011,"Cowpea, pods and seeds, raw",কাঁচা বরবটি,kaacha borboti|kacha borbotee|kachha borboti|khacha borboti|kacha borboti|kacha borboty|kaca borboti|raaw cowpea|raw chowpea|raw cowpea,vegetable,39,3.0,0.4,2.8,6.0,1 bowl,100,low,,yes,,,,
kancha_kola_raw,03_0027,"Plantain, raw",কাঁচা কলা (কাঁচা),raaw kancha kola|raw kanchha kola|raw khancha kola|raw kancha kola|raw kanca kola|raaw plantain|raw plantaeen|raw plantain|raw plantayn,vegetable,77,2.0,0.3,15.5,2.3,1 piece,100,medium,,yes,,,,
kancha_pepe_raw,03_0025,"Papaya, unripe, raw",কাঁচা পেঁপে (কাঁচা),raaw green papaya|raw ghreen papaya|raaw kancha pepe|raw green papaia|raw green papaya|raw kanchha pepe|raw khancha pepe|raw grin papaya|raw kancha pepe|raw kanca pepe,vegetable,30,0.8,0.1,5.7,1.5,1 bowl,100,low,,yes,,,,
paka_tomato_boiled,03_0045,"Tomato, red, ripe, boiled (without salt)",সিদ্ধ টমেটো,boeeled tomato|boiled tomaato|seeddho tomato|shiddho tomato|siddho tomaato|boiled tomato|boyled tomato|siddho tomato|syddho tomato,vegetable,30,2.1,0.5,2.7,3.1,1 bowl,100,low,,yes,,,,
shim_scarlet,03_0002,"Bean, scarlet runner, raw",শিম (রানার),scaarlet bean|scharlet bean|shcarlet bean|roonner shim|runner sheem|runner shhim|scarlet bean|runner shim|runner shym|runner sim,vegetable,54,3.9,0.1,8.3,2.0,1 bowl,100,low,,yes,,,,
makhon_shim,03_0006,"Broad beans, raw",মাখন শিম,bootter bean|butter beaan|maakhon shim|makhhon shim|makhon sheem|makhon shhim|broaad bean|butter bean|makhon shim|makhon shym|broad bean|makhon sim|makon shim,vegetable,50,4.5,0.6,4.5,4.2,1 bowl,100,low,,yes,,,,
palong_shak_raw,04_0025,"Spinach, raw",কাঁচা পালং শাক,kaacha palong shak|kacha palong shhak|kacha palongh shak|kachha palong shak|khacha palong shak|kacha palong shak|kaca palong shak|kacha palong sak|raaw spinach|raw shpinach|raw speenach|raw spinachh|raw spinach|raw spynach|raw spinac,leafy vegetable,26,3.0,0.5,0.9,2.9,1 bowl,100,low,kidney_caution,yes,,,,
lal_shak_raw,04_0004,"Red amaranth leaves, raw",কাঁচা লাল শাক,kaacha lal shak|kacha lal shhak|kachha lal shak|khacha lal shak|kacha lal shak|kaca lal shak|kacha lal sak|raaw lal shak|raw lal shakh|raw lal shhak|raw lal shak|raw lal sak,leafy vegetable,32,4.5,0.3,0.5,4.2,1 bowl,100,low,,yes,,,,
data_shak_raw,04_0005,"Green amaranth leaves, raw",কাঁচা ডাটা শাক,kaacha data shak|kacha data shhak|kachha data shak|khacha data shak|kacha data shak|kaca data shak|kacha data sak|raaw data shak|raw data shakh|raw data shhak|raw data shak|raw data sak,leafy vegetable,25,2.0,0.3,1.5,4.4,1 bowl,100,low,,yes,,,,
notay_shak_raw,04_0024,"Slender amaranth leaves, raw",কাঁচা নটে শাক,kaacha notay shak|kacha notay shhak|kachha notay shak|khacha notay shak|kacha notai shak|kacha notay shak|kaca notay shak|kacha notay sak|raaw notay|raw notai|raw notay,leafy vegetable,47,4.1,0.5,4.3,4.4,1 bowl,100,low,,yes,,,,
pui_shak_raw,04_0020,"Indian spinach, raw",কাঁচা পুঁই শাক,kaacha pui shak|kacha pooi shak|kacha puee shak|kacha pui shhak|kachha pui shak|khacha pui shak|kacha pui shak|kacha puy shak|kaca pui shak|kacha pui sak|raaw pui shak|raw pooi shak|raw puee shak|raw pui shakh|raw pui shhak|raw pui shak|raw puy shak|raw pui sak,leafy vegetable,25,2.4,0.3,2.1,2.2,1 bowl,100,low,,yes,,,,
chukai_shak,04_0006,"Dock leaves, raw",চুকাই শাক,chhukai shak|chookai shak|chukaai shak|chukaee shak|chukai shhak|chukhai shak|dochk leaves|dock leaaves|dock leabhes|dock leavesh|dockh leaves|chhuka shak|chooka shak|chuka shhak|chukaa shak|chukai shak|chukay shak|chukha shak|dock leaves|chuka shak|chukai sak|cukai shak|chuka sak|cuka shak,leafy vegetable,46,3.1,0.7,5.9,1.8,1 bowl,100,low,,yes,,,,
beet_shak,04_0007,"Beet greens, raw",বিট শাক,beet ghreens|beet greensh|beet greens|beet shaak|beet shakh|beet shhak|bit greens|beet shak|beet sak|bit shak,leafy vegetable,31,2.8,0.5,2.1,3.7,1 bowl,100,low,,yes,,,,
bat_baitta_shak,04_0008,"Bengal dayflower leaves, raw",বাত বাইত্তা শাক,baat baitta shak|bat baeetta shak|bat baitta shakh|bat baitta shhak|bat baitta shak|bat baytta shak|bat baitta sak|baaitta shak|baeetta shak|baitta shakh|baitta shhak|baitta shak|baytta shak|baitta sak,leafy vegetable,22,2.0,0.3,2.2,1.4,1 bowl,100,low,,yes,,,,
sabarang,04_0011,"Bugleweed, raw",সাবারাং,boogleweed|bughleweed|bugleweed|saabarang|sabarangh|shabarang|buglewid|sabarang,leafy vegetable,43,2.6,1.3,4.6,1.3,1 bowl,100,low,,yes,,,,
kalo_kochu_shak,04_0013,"Colocasia leaves, black, raw",কালো কচু শাক,blaack kochu shak|blachk kochu shak|black kochoo shak|black kochu shhak|blackh kochu shak|black kochu shak|kaalo kochu shak|kalo kochhu shak|kalo kochoo shak|kalo kochu shhak|khalo kochu shak|black kochu sak|black kocu shak|kalo kochu shak|kalo kochu sak|kalo kocu shak,leafy vegetable,62,5.6,1.2,5.3,3.7,1 bowl,100,low,kidney_caution,yes,,,,
dima_shak,04_0016,"Dima leaves, raw",ডিমা শাক,deema shak|dima shakh|dima shhak|dimaa shak|dima shak|dyma shak|dima sak|deema|dimaa|dima|dyma,leafy vegetable,33,1.7,1.0,3.6,1.0,1 bowl,100,low,,yes,,,,
dheki_shak,04_0018,"Fern leaves, raw",ঢেঁকি শাক,dhekee shak|dhekhi shak|dheki shaak|dheki shhak|dheki shak|dheky shak|fern shaak|fern shakh|fern shhak|dheki sak|fern shak|fern sak,leafy vegetable,68,1.3,0.6,13.7,1.0,1 bowl,100,medium,,yes,,,,
misti_alu_shak_sp4,04_0027,"Sweet potato leaves, SP4, dark green, raw",মিষ্টি আলু শাক (SP4),meesti alu shak sp4|mishti alu shak sp4|misti aalu shak sp4|misti aloo shak sp4|misti alu shakh sp4|misti alu shak sp4|mysti alu shak sp4|misti alu sak sp4,leafy vegetable,45,3.9,0.4,2.8,7.7,1 bowl,100,low,,yes,,,,
misti_alu_shak_sp7,04_0028,"Sweet potato leaves, SP7, dark green, raw",মিষ্টি আলু শাক (SP7),meesti alu shak sp7|mishti alu shak sp7|misti aalu shak sp7|misti aloo shak sp7|misti alu shakh sp7|misti alu shak sp7|mysti alu shak sp7|misti alu sak sp7,leafy vegetable,45,4.9,0.3,1.2,8.5,1 bowl,100,low,,yes,,,,
misti_alu_shak_sp8,04_0029,"Sweet potato leaves, SP8, light green, raw",মিষ্টি আলু শাক (SP8),meesti alu shak sp8|mishti alu shak sp8|misti aalu shak sp8|misti aloo shak sp8|misti alu shakh sp8|misti alu shak sp8|mysti alu shak sp8|misti alu sak sp8,leafy vegetable,50,3.6,0.4,3.9,8.0,1 bowl,100,low,,yes,,,,
kochur_mukhi_raw,05_0001,"Colocasia/Taro, corm, raw",কাঁচা কচুর মুখী,kaacha kochur mukhi|kacha kochoor mukhi|kacha kochur mukhee|kachha kochur mukhi|khacha kochur mukhi|kacha kochur mukhi|kacha kochur mukhy|kaca kochur mukhi|kacha kochur muki|raaw taro|raw taro,starchy root,103,2.2,0.2,21.0,4.1,1 bowl,100,medium,kidney_caution,yes,,,,
dudh_kochu_raw,05_0002,"Taro/Tannia cormel, raw",কাঁচা দুধ কচু,kaacha dudh kochu|kacha doodh kochu|kachha dudh kochu|khacha dudh kochu|kacha dudh kochu|kaca dudh kochu,starchy root,101,2.2,0.2,20.6,4.1,1 bowl,100,medium,kidney_caution,yes,,,,
ole_kochu_raw,05_0003,"Elephant foot yam, raw",কাঁচা ওল কচু,raaw elephant foot|raw elephant foot|kaacha ole kochu|kacha ole kochoo|kachha ole kochu|khacha ole kochu|raw elephant fut|kacha ole kochu|kaca ole kochu,starchy root,74,1.2,0.1,15.1,4.1,1 bowl,100,medium,kidney_caution,yes,,,,
mann_kochu_raw,05_0004,"Giant taro, corm, raw",কাঁচা মান কচু,kaacha mann kochu|kacha mann kochoo|kachha mann kochu|khacha mann kochu|kacha mann kochu|kaca mann kochu,starchy root,82,1.5,0.2,16.6,4.1,1 bowl,100,medium,kidney_caution,yes,,,,
misti_alu_raw,05_0007,"Sweet potato, pale-yellow flesh, raw",কাঁচা মিষ্টি আলু,raaw sweet potato|raw shweet potato|kaacha misti alu|kacha meesti alu|kacha mishti alu|kacha misti aloo|kachha misti alu|khacha misti alu|raw sweet potato|kacha misti alu|kacha mysti alu|raw swit potato|kaca misti alu,starchy root,105,0.9,0.3,23.1,3.0,1 medium,130,medium,,yes,,,,
misti_alu_komola_raw,05_0006,"Sweet potato, orange flesh, raw",কাঁচা কমলা মিষ্টি আলু,kaacha komola misti alu|kacha komola meesti alu|kacha komola mishti alu|kacha komola misti aloo|kachha komola misti alu|khacha komola misti alu|kacha komola misti alu|kacha komola mysti alu|kaca komola misti alu,starchy root,97,0.9,0.3,21.1,3.0,1 medium,130,medium,,yes,,,,
misti_alu_lal_raw,05_0008,"Sweet potato, purple skin, pale flesh, raw",লাল খোসা মিষ্টি আলু,laal khosa misti alu|lal khhosa misti alu|lal khosa meesti alu|lal khosa misti aloo|lal khosha misti alu|lal khosa misti alu|lal khosa mysti alu|lal kosa misti alu,starchy root,104,0.6,0.3,23.4,3.0,1 medium,130,medium,,yes,,,,
misti_alu_lal_boiled,05_0015,"Sweet potato, purple skin, pale flesh, boiled",সিদ্ধ লাল খোসা মিষ্টি আলু,seeddho lal khosa misti alu|shiddho lal khosa misti alu|siddho laal khosa misti alu|siddho lal khhosa misti alu|siddho lal khosa misti aloo|siddho lal khosa misti alu|syddho lal khosa misti alu|siddho lal kosa misti alu,starchy root,106,0.6,0.3,23.6,3.0,1 medium,130,medium,,yes,,,,
apel_khosa_chara,08_0001,"Apple, without skin, raw",আপেল,aapple|aapel|apple|apel,fruit,51,0.3,0.1,11.5,1.3,1 medium,130,medium,,yes,,,,
apel,08_0002,"Apple, with skin, raw",আপেল,aapel khosa soho|apel khhosa soho|apel khosha soho|apel khosa soho|apel kosa soho|aapple|aapel|apple|apel,fruit,62,0.3,0.2,13.5,2.4,1 medium,130,medium,,yes,,,,
nashpati,08_0003,"Asian pear, raw",নাশপাতি,naashpati|nashhpati|nashpatee|nashpati|nashpaty|naspati|peaar|pear,fruit,62,0.6,0.3,12.3,3.6,1 medium,150,medium,,yes,,,,
kola_sagar,08_0004,"Banana, Sagar, ripe, raw",কলা,shaagor kola|shaghor kola|shagor khola|shhagor kola|khola sagar|kola saghar|kola shagar|kolaa sagar|saagar kola|saagor kola|sagar khola|saghar kola|saghor kola|sagor khola|shagar kola|shagor kola|kola sagar|sagar kola|sagor kola|baanana|banana|kholaa|kolaaa|khola|khula|kolaa|koola|kulaa|kola|kula,fruit,95,1.3,0.8,19.2,2.6,1 medium,100,medium,,yes,,,,
madar,08_0005,"Breadfruit, raw",মাদার,breaadfruit|breadfrooit|breadfrueet|breadfruit|breadfruyt|maadar|madar,fruit,70,1.5,0.2,13.0,4.9,1 bowl,100,medium,,yes,,,,
nona_ata,08_0006,"Bullock's heart, ripe, raw",নোনা আতা,boollocks heart|bullochks heart|bullockhs heart|bullocks heaart|bullocksh heart|bullocks heart|nonaa ata|nona ata,fruit,81,1.4,0.2,15.7,5.2,1 medium,100,medium,,yes,,,,
kamranga,08_0007,"Carambola (star fruit), raw",কামরাঙ্গা,shtar fruit|staar fruit|star frooit|star frueet|star fruit|star fruyt|kaamranga|kamrangha|khamranga|kamranga,fruit,41,0.5,0.7,6.7,2.8,1 medium,100,low,,yes,,,,
atafol,08_0008,"Custard apple, raw",আতাফল,chustard apple|coostard apple|cushtard apple|custaard apple|custard apple|aatafol|atafol|aata|ata,fruit,85,1.8,0.3,16.6,4.4,1 medium,100,medium,,yes,,,,
khorma,08_0009,"Dates, dried",খোরমা,khejoor shukna|khejur shhukna|khejur shuknaa|khhejur shukna|khejur shukna|khezur shukna|dreeed dates|dried daates|dried datesh|kejur shukna|khejur sukna|dried dates|dryed dates|khhorma|khormaa|khorma|korma,fruit,301,2.2,0.6,67.5,8.3,3 pieces,30,high,diabetes_caution,yes,,,,
khejur,08_0010,"Dates, raw",খেজুর,khejoor|khhejur|daates|datesh|kaajur|kajoor|khajur|khejur|khezur|dates|kajur|kazur|kejur,fruit,150,1.2,0.4,33.4,4.1,3 pieces,50,high,diabetes_caution,yes,,,,
kodbel,08_0011,"Elephant apple, ripe, raw",কদবেল,khod bel|khodbel|kod bel|kodbel,fruit,64,3.1,0.4,10.3,3.5,1 medium,100,medium,,yes,,,,
amloki,08_0012,"Emblic (amla), raw",আমলকি,aamloki|amlokee|amlokhi|embleec|emblich|amloki|amloky|emblic|emblyc|aamla|amla,fruit,44,0.8,0.1,8.3,3.4,2 pieces,40,low,,yes,,,,
